AARAMBH - 2025 - THE ORIENTATION PROGRAMME,,,,,,,,,,,,,,,,,,,,,,
25th July - 1st August 2025,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Date,6:30am - 7:30am,7:30am - 8:50am,9:30am - 10:45am,11:00am - 12:30pm ,,,,12:30pm - 1:00pm,1:00pm - 2:30pm,2:30pm - 5:00PM,,,,5:00 pm - 6:00 pm,6:00 pm - 8:00pm,,8:00 pm - 9:30pm,9:30pm - 11:00pm,11:00pm-11:30pm,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Wednesday
30th July
2025",6:30am - 7:30am,7:30am - 8:50am,9:30 am-12:00 pm,,,12:00am - 1:30pm,,,1:30pm - 3:00pm,3:00pm - 4:30pm,,4:30pm- 5:30pm,,5:30pm - 6:30pm,6:30 pm - 9:00pm,,9:00 pm - 10:30pm,10:30pm - 11:30pm,,,,
,Sports Activities,BREAKFAST,"Workshop on GOAL setting
by
CCCT Team

Venue: IM & IET Amphitheater",,,Session by Amit Sheth                                                Venue:IM Amphi,,Art of Living                                            Venue:IET Amphi,LUNCH,Session by Amit Sheth        Venue:IET Amphi,Art of Living                   Venue:IM Amphi,Session by AIC               Venue: IM & IET Amphi,,SNACKS,JKLU Got Latent                                                        Venue : IM Amphi,,DINNER,"Movie Night                                 Venue :New Tech Block (001 , 006)",,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Thursday
31st July
2025",6:30am - 7:30am,7:30am - 8:50am,9:30 am-11:00am,,,11:00am - 12:30pm,,,12:30pm -2:00pm,2:00pm - 5:30pm,,,,5:30pm - 6:30pm,6:30 pm - 9:00pm,,9:00 pm - 10:30pm,10:30pm - 11:30pm,,,,
,Sports Activities,BREAKFAST,Session by Amit Sheth        Venue:IM Amphi,Workshop on Cyber Security by Mukesh Choudahry                  Venue : IET Amphi  ,,Session by Amit Sheth            Venue:IET Amphi,,Workshop on Cyber Security by Mukesh Choudahry                      Venue : IM Amphi  ,LUNCH,Know your Institute                                                                               Venue : Respective Institute ,,,,SNACKS,Sports Activity               (Cohort Wise Matches)  Venue : Respective Grounds,,DINNER,Strories Framed                                               Venue : IM Amphi,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Friday
1st August
2025",6:30am - 7:30am,7:30am-9:00am,9:30am - 1:00pm,,,,,,1:00pm - 2:30pm,2.30 pm - 4.00pm,,4.00pm- 6.30pm,,,,,,,,,,
,REST,Breakfast,"Workshop 
by
Manzil Mystics 

Venue: IM & IET Amphitheater",,,,,,Lunch,"Visit of Music Bus
by
Manzil Mystics

",,"
Performance of Manzil Mystics
 Followed by 
Closing Ceremony 

Venue: LRC Stairs",,"Departure of Buses
at
6:30 PM
from
JKLU Main Gate",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
